individu,traitement,TreatLarve,TreatAdult,lipides,glucose,glycogene,sumLGly,sumenergie,SsumLGly,Ssumenergie,poids,volume,SLipides,SGlucose,SGlycogene,OLSresidue,MSL,VSL,DSL,longueur.1,epaisseur.1,largeur.1,longueur.2,epaisseur.2,largeur.2,moyLong,moyepaiss,moylargeur
S18NlNa,NlNa,N,N,0.508,0.233,0.21,0.443,0.951,0.947018334,1.818934592,88.1,39.37085939,0.97074522,0.631922125,0.428792024,-0.123769703707424,106.252043346334,50.4624111519186,1.89966265617738,8.99,1.78,4.24,8.95,2.13,4.34,8.97,1.955,4.29
S19NlNa,NlNa,N,N,0.524,0.316,0.42,0.736,1.26,1.939350224,2.880917194,100.3,41.97936258,1.196706824,1.127892152,1.043795115,0.054254714156469,128.444349788224,58.2566249885593,1.92471226441669,8.68,2.18,4.34,8.9,2.04,4.31,8.79,2.11,4.325
S20NlNa,NlNa,N,N,0.396,0.091,0.102,0.193,0.589,0.832442414,2.050942214,82.1,34.80732024,1.376490904,0.620409127,0.402771922,-0.03208448555942,121.101122015082,58.2525535612669,1.67921587693171,8.51,1.75,4.36,8.25,1.87,4.41,8.38,1.81,4.385
S21NlNa,NlNa,N,N,0.856,0.263,0.271,0.534,1.39,1.574008863,3.497299211,89.9,50.31154084,2.150947037,1.087612767,0.748311326,-0.02930432232317,118.888462371207,72.858485143757,1.39953587848581,8.73,2.55,4.42,8.66,2.47,4.39,8.695,2.51,4.405
S22NlNa,NlNa,N,N,0.368,0.188,0.233,0.421,0.789,0.487087235,0.893569801,102.8,50.55868907,0.416699987,0.227676354,0.267212118,-0.11134224236341,103.96137131941,51.3168137980042,2.0134102924821,9.52,2.36,4.89,9.52,1.94,4.55,9.52,2.15,4.72
S23NlNa,NlNa,N,N,0.672,0.143,0.251,0.394,1.066,1.038184767,2.437347404,84.2,44.04020738,1.534707989,0.510406891,0.623791843,-0.120716059563139,107.826662534083,61.1165508023143,1.54015154811054,8.89,2.35,4.3,8.69,2.15,4.21,8.79,2.25,4.255
S24NlNa,NlNa,N,N,0.388,0.236,0.224,0.46,0.848,0.669920266,1.168833898,95.6,41.06708032,0.534556005,0.386649547,0.318898937,-0.130772042960918,103.277240945035,45.4923977752639,2.17589615836346,9.27,1.93,4.25,9.35,1.91,4.53,9.31,1.92,4.39
S25NlNa,NlNa,N,N,0.456,0.31,0.432,0.742,1.198,1.098737226,1.674867465,111.6,51.40911365,0.637212612,0.519104569,0.624708082,0.027820735429466,121.138812376296,57.3100449915737,2.02062882151431,9.34,2.27,4.47,9.25,2.32,4.74,9.295,2.295,4.605
S26NlNa,NlNa,N,N,0.828,0.434,0.636,1.07,1.898,0.962611888,1.734163136,121.7,48.00800662,0.75662218,0.377719616,0.575835726,-0.000709081775065,114.506242547049,44.2849122838721,2.67367709338641,9.88,2.11,4.65,9.63,2.01,4.48,9.755,2.06,4.565
S27NlNa,NlNa,N,N,0.636,0.135,0.441,0.576,1.212,1.901563223,3.359192752,76.4,38.561712,1.760226093,0.647877355,1.35456938,-0.165826216057625,104.374102622964,58.3008839025596,1.50829444412414,8.63,1.99,4.12,8.57,2.09,4.28,8.6,2.04,4.2
S28NlNa,NlNa,N,N,0.36,0.214,0.825,1.039,1.399,2.886626101,3.346623974,90.8,39.24792073,0.860122727,0.81883071,2.154902486,-0.033014233034913,118.058280809091,55.5732343169831,1.83909157093624,8.89,1.87,4.58,8.6,1.98,4.33,8.745,1.925,4.455
S29NlNa,NlNa,N,N,0.352,0.163,0.682,0.845,1.197,1.217060097,1.6343516,94.3,48.140596,0.480401445,0.263194308,0.960881764,-0.14702326601525,101.549711470201,53.1041543658415,1.8360329340692,9.15,2.17,4.7,9.49,2.03,4.7,9.32,2.1,4.7
S30NlNa,NlNa,N,N,0.148,0.111,0.402,0.513,0.661,0.989330381,1.157864244,73.6,38.2417617,0.259045727,0.262959445,0.745116599,-0.327400340181394,86.1803502778973,47.1337168047207,1.67660961833446,9.37,1.88,4.27,8.75,1.92,4.22,9.06,1.9,4.245
S31NlNa,NlNa,N,N,0.56,0.171,0.59,0.761,1.321,1.295798251,2.080682766,98.5,42.52916245,0.881483823,0.343996252,0.972846954,-0.064762467477323,111.290065617047,49.9955742602004,2.08161403408786,9.46,2.02,4.58,8.88,1.91,4.44,9.17,1.965,4.51
S32NlNa,NlNa,N,N,0.444,0.189,0.53,0.719,1.163,1.510766539,2.191928352,86.9,37.99713372,0.836071761,0.50111606,1.064802839,-0.141467931807606,104.287859369163,48.3836815427135,1.94994171786358,8.97,1.88,4.52,9,1.76,4.36,8.985,1.82,4.44
S33NlNa,NlNa,N,N,0.324,0.107,0.326,0.433,0.757,0.811643905,1.294236665,84.4,38.33135781,0.553523603,0.244194532,0.588321994,-0.197047988619898,98.0237590334004,46.7364729708398,1.93186250291997,9.24,2.08,4.12,8.93,1.75,4.3,9.085,1.915,4.21
S34NlNa,NlNa,N,N,0.488,0.284,0.803,1.087,1.575,1.306342107,1.842545115,105.6,43.08146123,0.570770904,0.361535012,0.954381117,-0.075687408247581,107.963409466488,44.3635150445448,2.40419828196866,9.44,1.96,4.58,9.53,1.83,4.58,9.485,1.895,4.58
S35NlNa,NlNa,N,N,0.396,0.392,0.925,1.317,1.713,2.511118077,2.971629872,104.8,51.67398645,0.68643116,0.914873493,1.696273201,0.023378223341263,122.313371725577,63.4143267438961,1.77182467455044,9.28,2.37,4.6,8.86,2.41,4.51,9.07,2.39,4.555
S36NlNa,NlNa,N,N,0.48,0.234,0.639,0.873,1.353,1.138703442,1.697444963,116.8,57.37514132,0.602006238,0.331709803,0.820215566,0.044045098497299,122.252695342327,60.9504372470217,1.95612527507733,9.55,2.61,4.56,9.27,2.5,4.56,9.41,2.555,4.56
S37NlNa,NlNa,N,N,0.612,0.297,1.105,1.402,2.014,0.671261556,1.074094579,129.3,54.53992961,0.326676134,0.112904278,0.55312516,-0.085899433515013,101.522529888256,39.5872742527043,2.92889936034094,10.83,2.16,4.71,9.91,2.2,4.51,10.37,2.18,4.61
S38NlNa,NlNa,N,N,0.408,0.293,0.642,0.935,1.343,2.675553556,3.294684949,99,40.04544678,0.999657906,1.165447964,1.724094541,0.060272160121874,129.815103789641,57.3425384721883,1.9507415290594,8.85,2.17,4.47,8.59,1.7,4.6,8.72,1.935,4.535
S39NlNa,NlNa,N,N,0.484,0.263,0.442,0.705,1.189,1.439488911,2.186765865,84.3,37.24162015,0.889394916,0.67155792,0.86440685,-0.178468888862065,100.33916808895,46.9078429567417,1.94389788298317,9,2.02,4.2,9.02,1.75,4.18,9.01,1.885,4.19
S40NlNa,NlNa,N,N,0.304,0.156,0.392,0.548,0.852,3.251129424,3.894566407,73.2,30.19850844,1.386651656,1.616544103,2.088526267,-0.073148224759283,118.312943776278,57.0490687075249,1.59309052153137,8.21,1.53,4.1,8.04,1.86,4.28,8.125,1.695,4.19
S41NlNa,NlNa,N,N,0.508,0.353,1.24,1.593,2.101,2.089264875,2.64823533,123.9,48.13261039,0.640107968,0.504016097,1.599876109,0.104324029264411,129.888287297134,51.238625215646,2.47008752614884,9.37,2.36,4.36,9.44,2.05,4.51,9.405,2.205,4.435
S42NlNa,NlNa,N,N,0.384,0.027,0.274,0.301,0.685,0.881975822,1.714786342,68.8,29.544417,0.960045275,0.110789799,0.752390696,-0.298169177313572,90.83006208449,42.688320679976,1.82663115722338,8.65,1.61,4.26,8.75,1.54,3.98,8.7,1.575,4.12
S43NlNa,NlNa,N,N,0.448,0.028,0.31,0.338,0.786,0.223613773,0.55243112,109,44.6026638,0.315027452,0.016275713,0.210270965,-0.181953657385912,93.9020127138728,36.6077864482209,2.78400672495629,10.03,1.86,4.4,10.07,1.96,4.48,10.05,1.91,4.44
